words,sentence,filename
['OK-õis-sis'],"Ja nüüd proovisin seda reduktsiooni klappi regullida sai täitsa põhja ( sisse ) keeratud see kruvi siis rõhk külmast peast 2 , 5bar tühikäik ja mingi 6500rpm 5 , 5bar aga soojalt tühikäik 0 , 5bar ja kui kaas põhja vajutada sis mingi 2 , 4bar ?? kas selliste näitajatega peaks kestma juba mootor , palju see ideaal oleks üldse mosse mootoril soojast peast pööretel ???",Failid_ettenten_retaggered/foorum_mosseliiga_ee__263275.json
['OK-möödas-mõõdas'],"Ärkama peavad nende firmade juhid , krabamise aeg on mõõdas , on aeg tagasi tulla eetika juurde ja mitte jääda vaid sõnades Tellija huvide eest seisjateks",Failid_ettenten_retaggered/www_epl_ee__266829.json
['OK-võime-vöime'],Konsolideerugem rasketel hetkedel .. hiljem vöime jälle demokraatiast hakata rääkima ..,Failid_ettenten_retaggered/www_epl_ee__502130.json
['NAME-kütt-Krtt'],"Krissu on täiesti endast väljas ja ütleb , : , , Krtt , see oli sinu süü ju ... sa oleksid pidanud nad sealt ära tooma , FAKK ..",Failid_ettenten_retaggered/www_mulje_ee__197332.json
['OK-üksi-yksi'],"no muidugi on vahest vaja puhata aga ma olen suht selline kanaema ei taha eriti oma last kuskile yksi jätta vms . ja minu jaoks on selline asi veider , kus emad iga nv kuskil klubides pidutsemas ja joomas käivad aga eks igal yhel on oma arvamus ..",Failid_ettenten_retaggered/www_nupsu_ee__596399.json
['OK-kõik-koik'],"Eestis on ilusad metsad ja ilusad metsloomad , seened ja marjad , aga see ongi koik ..",Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-ülemine-ylemine'],"Tsau , minuteada on see parima veepidavusega ja see ylemine vist ei ole muud kui heal juhul pritsmekindel ..",Failid_ettenten_retaggered/www_teamrrd_ee__515152.json
['OK-küll-kyll'],Antud juhtumil ei ole kyll kasvatajale mingit õigustust !!!!!!,Failid_ettenten_retaggered/rahvahaal_delfi_ee__133865.json
['OK-aitäh-Aitah'],Aitah HMMM,Failid_ettenten_retaggered/www_ekspress_ee__269006.json
['OK-bänd-bond'],bond,Failid_ettenten_retaggered/forte_delfi_ee__189366.json
['OK-lõhki-lohki'],"Meie valitsust , kes pyyab Brysseli ees kannuseid teenida ( ise rikkusest lohki minemas ) ei huvita see , et tänu kärpimisele elab suur osa rahvast totaalses vaesuses",Failid_ettenten_retaggered/www_ekspress_ee__78474.json
['OK-üle-ple'],"mina kordan iseennast ja ütlen ikka ja jälle - grafomaane on meil krdi palju ( siiahulka liigitan ka pädevad ) , a vat lugejaid ple enam kus kuradiski ... mõni on vilme vaadanud jne , fantaasia lendab , aga kui selle kirja paneb , hakkavad lõualuud valutama , nii raske on seda pointi sealt huvitavaks lugeda ... et mis siis on halba selles , kui ma soovitan sellel ideepotentsiaaliga kirjutajal teisi lugeda ja oma väljenduslikku külge arendada ... ja et igale arvustajale tglt peab olema tänulik , sest ta on oma aja minu asja lugemisele pühendanud , pluss ka viitsinud miskit selle kohta kosta",Failid_ettenten_retaggered/www_poogen_ee__676226.json
"['OK-või-voi', 'OK-võimalus-voimalus', 'OK-või-voi']",mind syysdistatakse alati selles kui mu vend midagi teeb sest mina peaks olema suurem ja vt tema järele aga jah kui ma masenduses kuulan siis kuulan rokki voi midagi narvi ajavat ja siis lähen oue ja peksan palli vastu seina see aitab teine voimalus on et lähed ja peaksad ennast voi mngit asja poksikoptti näiteks,Failid_ettenten_retaggered/www_lapsemure_ee__258721.json
['OK-välimus-valimus'],Mulle meeldib see konservatiivne valimus ja loodetavasti on neil rohkem aega jaanud moelda vastupidavusele,Failid_ettenten_retaggered/forte_delfi_ee__365761.json
['OK-öine-pine'],English : pine nuts,Failid_ettenten_retaggered/nami-nami_ee__465206.json
['ENGLISH-münt-mint'],"Kolmepaikne 21 - 10 - 10 11:11 Olin elioni kasutaja Tallinnas kodupakett kiirus 4,5 - 5 Mbit , nüüd elisa mint strong alla 4,3 - 7 .",Failid_ettenten_retaggered/vikerraadio_err_ee__363737.json
['OK-õli-ali'],ali,Failid_ettenten_retaggered/www_ekspress_ee__138358.json
['OK-lõpuks-L6puks'],L6puks sain pisikesele kombeka ja vankri ära osta ootan juba uusi sunniuudiseid,Failid_ettenten_retaggered/www_nupsu_ee__596046.json
['OK-nägu-nigu'],"ütle ikka , siis saab korralikult diskrimineerida nigu kord ja kohus",Failid_ettenten_retaggered/www_lapsemure_ee__130584.json
['OK-tõesti-töesti'],Neid ja nende vägitegusid ei salli ma töesti silmaotsaski,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-mõte-möte'],"Üks möte “ Päeva tip : Kapid korda , kodu läikima ! ”",Failid_ettenten_retaggered/perekool_nupsu_ee__509173.json
