Kõikse	kõikse	Ok
parem	parem	Ok
on	on	Ok
ikka	ikka	Ok
lapsele	lapsele	Ok
ilusti	ilusti	Ok
ette	ette	Ok
näidata	näidata	Ok
kuda	kuda	Ok
asi	asi	Ok
käib	käib	Ok
.	.	Punct
paned	paned	Ok
lapse	lapse	Ok
voodikõrvale	voodikõrvale	Ok
taburetile	taburetile	Ok
istuma	istuma	Ok
ja	ja	Ok
hakkad	hakkad	Ok
aga	aga	Ok
naisega	naisega	Ok
madistama	madistama	Ok
.	.	Punct
Vahepeal	Vahepeal	Ok
teed	teed	Ok
seletamiseks	seletamiseks	Ok
väikeseid	väikeseid	Ok
pause	pause	Ok
ka	ka	Ok
,	,	Punct
et	et	Ok
laps	laps	Ok
ikka	ikka	Ok
kõigest	kõigest	Ok
aru	aru	Ok
saaks	saaks	Ok
.	.	Punct
P.3.	P.3	Abbrev_Num
ehk	ehk	Ok
ema	ema	Ok
10	10	Ok
aastasele	aastasele	Ok
:	:	Punct
"	"	Punct
Vaata	Vaata	Ok
,	,	Punct
et	et	Ok
sa	sa	Ok
jumala	jumala	Ok
pärast	pärast	Ok
selle	selle	Ok
nõmeda	nõmeda	Ok
naabripoisi	naabripoisi	Ok
Mardiga	Mardiga	Ok
seksima	seksima	Ok
ei	ei	Ok
hakka	hakka	Ok
!	!	Punct
Kui	Kui	Ok
siis	siis	Ok
ainult	ainult	Ok
sealt	sealt	Ok
muusikute	muusikute	Ok
perest	perest	Ok
pärit	pärit	Ok
Toomasega	Toomasega	Name
aga	aga	Ok
mitte	mitte	Ok
ka	ka	Ok
enne	enne	Ok
,	,	Punct
kui	kui	Ok
ta	ta	Ok
on	on	Ok
viiulimängu	viiulimängu	Ok
päris	päris	Ok
selgeks	selgeks	Ok
saanud	saanud	Ok
!	!	Punct
"	"	Punct
:-D	:D	Emo
.	.	Punct
umbes	umbes	Ok
nii	nii	Ok
ve	ve	Ok
...	...	Punct
:-)	:-)	Emo
Et	Et	Ok
kõigepealt	kõigepealt	Ok
räägin	räägin	Ok
soovimatust	soovimatust	Ok
rasestumisest	rasestumisest	Ok
ja	ja	Ok
suguhaigustest	suguhaigustest	Ok
,	,	Punct
(	(	Punct
punkt	punkt	Ok
2	2	Ok
)	)	Punct
,	,	Punct
peale	peale	Ok
seda	seda	Ok
kuidas	kuidas	Ok
poisid	poisid	Ok
